entity,code,year,co2
Austria,AUT,2001,166
Austria,AUT,2002,163
Austria,AUT,2003,163
Austria,AUT,2004,162
Austria,AUT,2005,163
Austria,AUT,2006,161
Austria,AUT,2007,162
Austria,AUT,2008,159
Austria,AUT,2009,152
Austria,AUT,2010,146
Austria,AUT,2011,"141"
Austria,AUT,2012,"137"
Austria,AUT,2013,"132"
Austria,AUT,2014,"128"
Austria,AUT,2015,"123"
Austria,AUT,2016,"119"
Austria,AUT,2017,"119"
Austria,AUT,2018,"120"
Austria,AUT,2019,"121"
Belgium,BEL,2001,"164"
Belgium,BEL,2002,"161"
Belgium,BEL,2003,"158"
Belgium,BEL,2004,"156,07812"
Belgium,BEL,2005,"155,80378"
Belgium,BEL,2006,"154,80929"
Belgium,BEL,2007,"153,29263"
Belgium,BEL,2008,"148,13343"
Belgium,BEL,2009,"142,11423"
Belgium,BEL,2010,"136,65537"
Belgium,BEL,2011,"133,90637"
Belgium,BEL,2012,"131,62714"
Belgium,BEL,2013,"124,09549"
Belgium,BEL,2014,"121,51532"
Belgium,BEL,2015,"117,7162"
Belgium,BEL,2016,"115,15183"
Belgium,BEL,2017,"115,06842"
Belgium,BEL,2018,"118,79771"
Belgium,BEL,2019,"119,82106"
Denmark,DNK,2001,"174,94128"
Denmark,DNK,2002,"170,03757"
Denmark,DNK,2003,"171,43205"
Denmark,DNK,2004,"170,26623"
Denmark,DNK,2005,"166,86933"
Denmark,DNK,2006,"165,924"
Denmark,DNK,2007,"161,50727"
Denmark,DNK,2008,"147,03909"
Denmark,DNK,2009,"143,94198"
Denmark,DNK,2010,"136,37781"
Denmark,DNK,2011,"129,12632"
Denmark,DNK,2012,"119,16719"
Denmark,DNK,2013,"113,91582"
Denmark,DNK,2014,"111,38802"
Denmark,DNK,2015,"107,53897"
Denmark,DNK,2016,"109,32437"
Denmark,DNK,2017,"108,54557"
Denmark,DNK,2018,"109,99245"
Denmark,DNK,2019,"107,54129"
Finland,FIN,2001,"181,62802"
Finland,FIN,2002,"180,35436"
Finland,FIN,2003,"179,61385"
Finland,FIN,2004,"180,85791"
Finland,FIN,2005,"180,26445"
Finland,FIN,2006,"179,76891"
Finland,FIN,2007,"177,645"
Finland,FIN,2008,"163,67437"
Finland,FIN,2009,"158,8958"
Finland,FIN,2010,"151,72065"
Finland,FIN,2011,"145,74967"
Finland,FIN,2012,"140,93032"
Finland,FIN,2013,"131,21064"
Finland,FIN,2014,"127,32957"
Finland,FIN,2015,"124,7749"
Finland,FIN,2016,"121,67081"
Finland,FIN,2017,"119,14027"
Finland,FIN,2018,"117,25072"
Finland,FIN,2019,"112,98791"
France,FRA,2001,"160,68531"
France,FRA,2002,"156,91553"
France,FRA,2003,"154,82814"
France,FRA,2004,"153,92857"
France,FRA,2005,"152,0482"
France,FRA,2006,"149,01749"
France,FRA,2007,"149,99688"
France,FRA,2008,"140,43056"
France,FRA,2009,"134,19022"
France,FRA,2010,"132,75367"
France,FRA,2011,"128,64703"
France,FRA,2012,"125,727"
France,FRA,2013,"117,49386"
France,FRA,2014,"114,43716"
France,FRA,2015,"111,05197"
France,FRA,2016,"110,5629"
France,FRA,2017,"110,89129"
France,FRA,2018,"111,29646"
France,FRA,2019,"111,51428"
Germany,DEU,2001,"178,34762"
Germany,DEU,2002,"176,17963"
Germany,DEU,2003,"176,252"
Germany,DEU,2004,"174,44978"
Germany,DEU,2005,"172,18817"
Germany,DEU,2006,"172,14705"
Germany,DEU,2007,"169,75161"
Germany,DEU,2008,"165,39347"
Germany,DEU,2009,"155,87549"
Germany,DEU,2010,"153,16067"
Germany,DEU,2011,"147,39412"
Germany,DEU,2012,"142,09162"
Germany,DEU,2013,"135,42414"
Germany,DEU,2014,"131,71158"
Germany,DEU,2015,"127,71798"
Germany,DEU,2016,"125,41058"
Germany,DEU,2017,"126,80381"
Germany,DEU,2018,"127,30847"
Germany,DEU,2019,"130,03501"
