entity,id,year,co2
Austria,040,2001,166
Austria,040,2002,163
Austria,040,2003,163
Austria,040,2004,162
Austria,040,2005,163
Austria,040,2006,161
Austria,040,2007,162
Austria,040,2008,159
Austria,040,2009,152
Austria,040,2010,146
Austria,040,2011,141
Austria,040,2012,137
Austria,040,2013,132
Austria,040,2014,128
Austria,040,2015,123
Austria,040,2016,119
Austria,040,2017,119
Austria,040,2018,120
Austria,040,2019,121
Belgium,056,2001,164
Belgium,056,2002,161
Belgium,056,2003,158
Belgium,056,2004,156
Belgium,056,2005,155
Belgium,056,2006,154
Belgium,056,2007,153
Belgium,056,2008,148
Belgium,056,2009,142
Belgium,056,2010,137
Belgium,056,2011,134
Belgium,056,2012,132
Belgium,056,2013,124
Belgium,056,2014,122
Belgium,056,2015,117
Belgium,056,2016,115
Belgium,056,2017,115
Belgium,056,2018,119
Belgium,056,2019,119
Denmark,208,2001,175
Denmark,208,2002,170
Denmark,208,2003,171
Denmark,208,2004,170
Denmark,208,2005,166
Denmark,208,2006,165
Denmark,208,2007,161
Denmark,208,2008,147
Denmark,208,2009,143
Denmark,208,2010,136
Denmark,208,2011,129
Denmark,208,2012,119
Denmark,208,2013,113
Denmark,208,2014,111
Denmark,208,2015,108
Denmark,208,2016,109
Denmark,208,2017,109
Denmark,208,2018,110
Denmark,208,2019,108
Finland,246,2001,182
Finland,246,2002,180
Finland,246,2003,180
Finland,246,2004,181
Finland,246,2005,180
Finland,246,2006,180
Finland,246,2007,178
Finland,246,2008,164
Finland,246,2009,159
Finland,246,2010,152
Finland,246,2011,146
Finland,246,2012,141
Finland,246,2013,131
Finland,246,2014,127
Finland,246,2015,125
Finland,246,2016,122
Finland,246,2017,119
Finland,246,2018,117
Finland,246,2019,113
France,250,2001,161
France,250,2002,157
France,250,2003,155
France,250,2004,154
France,250,2005,152
France,250,2006,149
France,250,2007,150
France,250,2008,140
France,250,2009,134
France,250,2010,133
France,250,2011,128
France,250,2012,126
France,250,2013,118
France,250,2014,114
France,250,2015,111
France,250,2016,110
France,250,2017,110
France,250,2018,111
France,250,2019,112
Germany,276,2001,178
Germany,276,2002,176
Germany,276,2003,176
Germany,276,2004,174
Germany,276,2005,172
Germany,276,2006,172
Germany,276,2007,169
Germany,276,2008,165
Germany,276,2009,155
Germany,276,2010,153
Germany,276,2011,147
